,central_pressure,central_density,radius,total_mass
34,1587.7433766365964,9941918.345336966,0.00560390989902168,1.1391790063047749e-06
35,1956.7613250988866,11270402.913627457,0.005493301459501248,1.2126924112596134e-06
36,2411.545177731272,12776512.58354863,0.0053845163842462865,1.2909449947910525e-06
37,2972.0283560617995,14483928.824840888,0.005277433468893524,1.3742165020187557e-06
38,3662.7771400680476,16419503.457728563,0.005172105453178469,1.4628505795511472e-06
39,4514.0674214771825,18613799.202161912,0.005068486565628923,1.5571559578968437e-06
40,5563.2117124284705,21101520.618596934,0.004966690824745498,1.6575308324395953e-06
41,6856.194573002931,23921740.96951923,0.004866634944539889,1.7643327867401672e-06
42,8449.68813929158,27119088.17307065,0.00476832049888671,1.8779772900988316e-06
43,10413.536093683811,30743986.093820777,0.004671725440711573,1.998890945812436e-06
44,12833.814951133374,34853692.70635341,0.004576890720045712,2.127532310382116e-06
45,15816.606839230772,39512888.44453122,0.004483764181606323,2.264391555443644e-06
46,19492.649135065498,44795352.03011233,0.004392319351851775,2.4099852301570943e-06
47,24023.064754971732,50784376.993463054,0.004302592023135019,2.564865737527412e-06
48,29606.42425884553,57574450.16566495,0.004214498544561887,2.729582306508243e-06
49,36487.449304874564,65273177.276649855,0.004128036637992804,2.9047712776931665e-06
50,44967.73893179751,74002026.11732265,0.004043223109733812,3.091071277084482e-06
51,55418.98880742385,83898984.6085396,0.003959971323630862,3.2891586283308727e-06
